sandboxLog;lambdaLog;timestamp
;time 7200, basket position 9;7200
;time 7300, basket position 9;7300
;time 7400, basket position 9;7400
;time 7500, basket position 9;7500
;time 7600, basket position 9;7600
;time 7700, basket position 9;7700
;time 7800, basket position 9;7800
;time 7900, basket position 9;7900
;time 8000, basket position 9;8000
;time 8100, basket position 9;8100
;time 8200, basket position 9;8200
;time 8300, basket position 9;8300
;time 8400, basket position 9;8400
;time 8500, basket position 9;8500
;time 8600, basket position 9;8600
;time 8700, basket position 9;8700
;time 8800, basket position 9;8800
;time 8900, basket position 9;8900
;time 9000, basket position 9;9000
;time 9100, basket position 9;9100
;time 9200, basket position 9;9200
;time 9300, basket position 9;9300
;time 9400, basket position 9;9400
;time 9500, basket position 9;9500
;time 9600, basket position 9;9600
;time 9700, basket position 9;9700
;time 9800, basket position 9;9800
;time 9900, basket position 9;9900
;time 10000, basket position 9;10000
;time 10100, basket position 9;10100
;time 10200, basket position 9;10200
;time 10300, basket position 9;10300
;time 10400, basket position 9;10400
;time 10500, basket position 9;10500
;time 10600, basket position 9;10600
;time 10700, basket position 9;10700
;time 10800, basket position 9;10800
;time 10900, basket position 9;10900
;time 11000, basket position 9;11000
;time 11100, basket position 9;11100
;time 11200, basket position 9;11200
;time 11300, basket position 9;11300
;time 11400, basket position 9;11400
;time 11500, basket position 9;11500
;time 11600, basket position 9;11600
;time 11700, basket position 9;11700
;time 11800, basket position 9;11800
;time 11900, basket position 9;11900
;time 12000, basket position 9;12000
;time 12100, basket position 9;12100
;time 12200, basket position 9;12200
;time 12300, basket position 1;12300
;time 12400, basket position 1;12400
;time 12500, basket position 1;12500
;time 12600, basket position 1;12600
;time 12700, basket position 1;12700
;time 12800, basket position 1;12800
;time 12900, basket position 1;12900
;time 13000, basket position 1;13000
;time 13100, basket position 1;13100
;time 13200, basket position 1;13200
;time 13300, basket position 1;13300
;time 13400, basket position 1;13400
;time 13500, basket position 1;13500
;time 13600, basket position 1;13600
;time 13700, basket position 1;13700
;time 13800, basket position 1;13800
;time 13900, basket position 1;13900
;time 14000, basket position 1;14000
;time 14100, basket position 1;14100
;time 14200, basket position 1;14200
;time 14300, basket position 1;14300
;time 14400, basket position 1;14400
;time 14500, basket position 1;14500
;time 14600, basket position 1;14600
;time 14700, basket position 1;14700
;time 14800, basket position 1;14800
;time 14900, basket position 1;14900
;time 15000, basket position 1;15000
;time 15100, basket position 1;15100
;time 15200, basket position 1;15200
;time 15300, basket position 1;15300
;time 15400, basket position 1;15400
;time 15500, basket position 1;15500
;time 15600, basket position 1;15600
;time 15700, basket position 1;15700
;time 15800, basket position 1;15800
;time 15900, basket position 1;15900
;time 16000, basket position 1;16000
;time 16100, basket position 1;16100
;time 16200, basket position 1;16200
;time 16300, basket position 1;16300
;time 16400, basket position 1;16400
;time 16500, basket position 7;16500
;time 16600, basket position 7;16600
;time 16700, basket position 7;16700
;time 16800, basket position 7;16800
;time 16900, basket position 7;16900
;time 17000, basket position 7;17000
;time 17100, basket position 7;17100
;time 17200, basket position 7;17200
;time 17300, basket position 7;17300
;time 17400, basket position 7;17400
;time 17500, basket position 7;17500
;time 17600, basket position 7;17600
;time 17700, basket position 7;17700
;time 17800, basket position 7;17800
;time 17900, basket position 7;17900
;time 18000, basket position 7;18000
;time 18100, basket position 7;18100
;time 18200, basket position 7;18200
;time 18300, basket position 7;18300
;time 18400, basket position 7;18400
;time 18500, basket position 7;18500
;time 18600, basket position 7;18600
;time 18700, basket position 7;18700
;time 18800, basket position 7;18800
;time 18900, basket position 7;18900
;time 19000, basket position 7;19000
;time 19100, basket position 7;19100
;time 19200, basket position 7;19200
;time 19300, basket position 7;19300
;time 19400, basket position 7;19400
;time 19500, basket position 7;19500
;time 19600, basket position 7;19600
;time 19700, basket position 7;19700
;time 19800, basket position 7;19800
;time 19900, basket position 7;19900
;time 20000, basket position 7;20000
;time 20100, basket position 7;20100
;time 20200, basket position 7;20200
;time 20300, basket position 7;20300
;time 20400, basket position 7;20400
;time 20500, basket position 7;20500
;time 20600, basket position 7;20600
;time 20700, basket position 7;20700
;time 20800, basket position 7;20800
;time 20900, basket position 7;20900
;time 21000, basket position 7;21000
;time 21100, basket position 7;21100
;time 21200, basket position 7;21200
;time 21300, basket position 7;21300
;time 21400, basket position 7;21400
;time 21500, basket position 7;21500
;time 21600, basket position 7;21600
;time 21700, basket position 7;21700
;time 21800, basket position 7;21800
;time 21900, basket position 7;21900
;time 22000, basket position 7;22000
;time 22100, basket position 7;22100
;time 22200, basket position 7;22200
;time 22300, basket position 7;22300
;time 22400, basket position 7;22400
;time 22500, basket position 7;22500
;time 22600, basket position 1;22600
;time 22700, basket position 1;22700
;time 22800, basket position 1;22800
;time 22900, basket position 1;22900
;time 23000, basket position 1;23000
;time 23100, basket position -5;23100
;time 23200, basket position -5;23200
;time 23300, basket position -5;23300
;time 23400, basket position -5;23400
;time 23500, basket position -5;23500
;time 23600, basket position -5;23600
;time 23700, basket position -5;23700
;time 23800, basket position -5;23800
;time 23900, basket position -5;23900
;time 24000, basket position -5;24000
;time 24100, basket position -5;24100
;time 24200, basket position -5;24200
;time 24300, basket position -5;24300
;time 24400, basket position -5;24400
;time 24500, basket position -5;24500
;time 24600, basket position -5;24600
;time 24700, basket position -5;24700
;time 24800, basket position -5;24800
;time 24900, basket position -5;24900
;time 25000, basket position -5;25000
;time 25100, basket position -5;25100
;time 25200, basket position -5;25200
;time 25300, basket position -5;25300
;time 25400, basket position -5;25400
;time 25500, basket position -5;25500
;time 25600, basket position -5;25600
;time 25700, basket position -5;25700
;time 25800, basket position -5;25800
;time 25900, basket position -5;25900
;time 26000, basket position -5;26000
;time 26100, basket position -5;26100
;time 26200, basket position -5;26200
;time 26300, basket position -5;26300
;time 26400, basket position -5;26400
;time 26500, basket position -5;26500
;time 26600, basket position -5;26600
;time 26700, basket position -5;26700
;time 26800, basket position -5;26800
;time 26900, basket position -5;26900
;time 27000, basket position -5;27000
;time 27100, basket position -5;27100
;time 27200, basket position -5;27200
;time 27300, basket position -5;27300
;time 27400, basket position -5;27400
;time 27500, basket position -5;27500
;time 27600, basket position -5;27600
;time 27700, basket position -5;27700
;time 27800, basket position -5;27800
;time 27900, basket position -5;27900
;time 28000, basket position -5;28000
;time 28100, basket position -5;28100
;time 28200, basket position -5;28200
;time 28300, basket position -5;28300
;time 28400, basket position -5;28400
;time 28500, basket position -5;28500
;time 28600, basket position -5;28600
;time 28700, basket position -5;28700
;time 28800, basket position -5;28800
;time 28900, basket position -5;28900
;time 29000, basket position -5;29000
;time 29100, basket position -5;29100
;time 29200, basket position -5;29200
;time 29300, basket position -5;29300
;time 29400, basket position -5;29400
;time 29500, basket position -5;29500
;time 29600, basket position -5;29600
;time 29700, basket position -5;29700
;time 29800, basket position -5;29800
;time 29900, basket position -5;29900
;time 30000, basket position -5;30000
;time 30100, basket position -5;30100
;time 30200, basket position -5;30200
;time 30300, basket position -5;30300
;time 30400, basket position -5;30400
;time 30500, basket position -5;30500
;time 30600, basket position -5;30600
;time 30700, basket position -5;30700
;time 30800, basket position -5;30800
;time 30900, basket position -5;30900
;time 31000, basket position -5;31000
;time 31100, basket position -5;31100
;time 31200, basket position -5;31200
;time 31300, basket position -5;31300
;time 31400, basket position -5;31400
;time 31500, basket position -5;31500
;time 31600, basket position -5;31600
;time 31700, basket position -5;31700
;time 31800, basket position -5;31800
;time 31900, basket position -5;31900
;time 32000, basket position -5;32000
;time 32100, basket position -5;32100
;time 32200, basket position -5;32200
;time 32300, basket position -5;32300
;time 32400, basket position -5;32400
;time 32500, basket position -5;32500
;time 32600, basket position -5;32600
;time 32700, basket position -5;32700
;time 32800, basket position -5;32800
;time 32900, basket position -5;32900
;time 33000, basket position -5;33000
;time 33100, basket position -5;33100
;time 33200, basket position -5;33200
;time 33300, basket position -5;33300
;time 33400, basket position -5;33400
;time 33500, basket position -5;33500
;time 33600, basket position -5;33600
;time 33700, basket position -5;33700
;time 33800, basket position -5;33800
;time 33900, basket position -5;33900
;time 34000, basket position -5;34000
;time 34100, basket position -5;34100
;time 34200, basket position -5;34200
;time 34300, basket position -5;34300
;time 34400, basket position -5;34400
;time 34500, basket position -5;34500
;time 34600, basket position -5;34600
;time 34700, basket position -5;34700
;time 34800, basket position -5;34800
;time 34900, basket position -5;34900
;time 35000, basket position -5;35000
;time 35100, basket position -5;35100
;time 35200, basket position -11;35200
;time 35300, basket position -11;35300
;time 35400, basket position -11;35400
;time 35500, basket position -11;35500
;time 35600, basket position -11;35600
;time 35700, basket position -11;35700
;time 35800, basket position -11;35800
;time 35900, basket position -11;35900
;time 36000, basket position -11;36000
;time 36100, basket position -11;36100
;time 36200, basket position -11;36200
;time 36300, basket position -11;36300
;time 36400, basket position -11;36400
;time 36500, basket position -11;36500
;time 36600, basket position -11;36600
;time 36700, basket position -11;36700
;time 36800, basket position -11;36800
;time 36900, basket position -11;36900
;time 37000, basket position -11;37000
;time 37100, basket position -11;37100
;time 37200, basket position -3;37200
;time 37300, basket position -3;37300
;time 37400, basket position -3;37400
;time 37500, basket position -3;37500
;time 37600, basket position -3;37600
;time 37700, basket position -3;37700
;time 37800, basket position -3;37800
;time 37900, basket position -3;37900
;time 38000, basket position -3;38000
;time 38100, basket position -3;38100
;time 38200, basket position -3;38200
;time 38300, basket position -3;38300
;time 38400, basket position -3;38400
;time 38500, basket position -3;38500
;time 38600, basket position -3;38600
;time 38700, basket position -3;38700
;time 38800, basket position -3;38800
;time 38900, basket position -3;38900
;time 39000, basket position -3;39000
;time 39100, basket position -3;39100
;time 39200, basket position -3;39200
;time 39300, basket position -3;39300
;time 39400, basket position -3;39400
;time 39500, basket position -3;39500
;time 39600, basket position -3;39600
;time 39700, basket position -3;39700
;time 39800, basket position -3;39800
;time 39900, basket position -3;39900
;time 40000, basket position -3;40000
;time 40100, basket position -3;40100
;time 40200, basket position -3;40200
;time 40300, basket position -3;40300
;time 40400, basket position -3;40400
;time 40500, basket position -3;40500
;time 40600, basket position -3;40600
;time 40700, basket position -3;40700
;time 40800, basket position -3;40800
;time 40900, basket position -3;40900
;time 41000, basket position -3;41000
;time 41100, basket position -3;41100
;time 41200, basket position -3;41200
;time 41300, basket position -3;41300
;time 41400, basket position -3;41400
;time 41500, basket position -3;41500
;time 41600, basket position -3;41600
;time 41700, basket position -3;41700
;time 41800, basket position -3;41800
;time 41900, basket position -3;41900
;time 42000, basket position -3;42000
;time 42100, basket position -3;42100
;time 42200, basket position -3;42200
;time 42300, basket position -3;42300
;time 42400, basket position -3;42400
;time 42500, basket position -3;42500
;time 42600, basket position -3;42600
;time 42700, basket position -3;42700
;time 42800, basket position -3;42800
;time 42900, basket position -3;42900
;time 43000, basket position -3;43000
;time 43100, basket position -3;43100
;time 43200, basket position -3;43200
;time 43300, basket position -3;43300
;time 43400, basket position -3;43400
;time 43500, basket position -3;43500
;time 43600, basket position -3;43600
;time 43700, basket position -3;43700
;time 43800, basket position -3;43800
;time 43900, basket position -3;43900
;time 44000, basket position -3;44000
;time 44100, basket position -3;44100
;time 44200, basket position -3;44200
;time 44300, basket position -3;44300
;time 44400, basket position -3;44400
;time 44500, basket position -3;44500
;time 44600, basket position -3;44600
;time 44700, basket position -3;44700
;time 44800, basket position -3;44800
;time 44900, basket position -3;44900
;time 45000, basket position -3;45000
;time 45100, basket position -3;45100
;time 45200, basket position -3;45200
;time 45300, basket position -3;45300
;time 45400, basket position -3;45400
;time 45500, basket position -3;45500
;time 45600, basket position 7;45600
;time 45700, basket position 7;45700
;time 45800, basket position 7;45800
;time 45900, basket position 7;45900
;time 46000, basket position 7;46000
;time 46100, basket position 7;46100
;time 46200, basket position 7;46200
;time 46300, basket position 7;46300
;time 46400, basket position 7;46400
;time 46500, basket position 7;46500
;time 46600, basket position 7;46600
;time 46700, basket position 7;46700
;time 46800, basket position 7;46800
;time 46900, basket position 7;46900
;time 47000, basket position 7;47000
;time 47100, basket position 7;47100
;time 47200, basket position 7;47200
;time 47300, basket position 7;47300
;time 47400, basket position 7;47400
;time 47500, basket position 7;47500
;time 47600, basket position 7;47600
;time 47700, basket position 7;47700
;time 47800, basket position 7;47800
;time 47900, basket position 7;47900
;time 48000, basket position 7;48000
;time 48100, basket position 7;48100
;time 48200, basket position 7;48200
;time 48300, basket position 7;48300
;time 48400, basket position 7;48400
;time 48500, basket position 7;48500
;time 48600, basket position 7;48600
;time 48700, basket position 7;48700
;time 48800, basket position 7;48800
;time 48900, basket position 7;48900
;time 49000, basket position 7;49000
;time 49100, basket position 7;49100
;time 49200, basket position 7;49200
;time 49300, basket position 7;49300
;time 49400, basket position 7;49400
;time 49500, basket position 7;49500
;time 49600, basket position 7;49600
;time 49700, basket position 7;49700
;time 49800, basket position 7;49800
;time 49900, basket position 7;49900
;time 50000, basket position 7;50000
;time 50100, basket position 7;50100
;time 50200, basket position 7;50200
;time 50300, basket position 7;50300
;time 50400, basket position 7;50400
;time 50500, basket position 7;50500
;time 50600, basket position 7;50600
;time 50700, basket position 7;50700
;time 50800, basket position 7;50800
;time 50900, basket position 7;50900
;time 51000, basket position 7;51000
;time 51100, basket position 7;51100
;time 51200, basket position 7;51200
;time 51300, basket position 7;51300
;time 51400, basket position 7;51400
;time 51500, basket position 7;51500
;time 51600, basket position 7;51600
;time 51700, basket position 7;51700
;time 51800, basket position 7;51800
;time 51900, basket position 7;51900
;time 52000, basket position 7;52000
;time 52100, basket position 7;52100
;time 52200, basket position 7;52200
;time 52300, basket position 7;52300
;time 52400, basket position 7;52400
;time 52500, basket position 7;52500
;time 52600, basket position 7;52600
;time 52700, basket position 7;52700
;time 52800, basket position 7;52800
;time 52900, basket position 7;52900
;time 53000, basket position 7;53000
;time 53100, basket position 7;53100
;time 53200, basket position 17;53200
;time 53300, basket position 17;53300
;time 53400, basket position 17;53400
;time 53500, basket position 17;53500
;time 53600, basket position 17;53600
;time 53700, basket position 17;53700
;time 53800, basket position 17;53800
;time 53900, basket position 17;53900
;time 54000, basket position 17;54000
;time 54100, basket position 17;54100
;time 54200, basket position 17;54200
;time 54300, basket position 17;54300
;time 54400, basket position 17;54400
;time 54500, basket position 17;54500
;time 54600, basket position 17;54600
;time 54700, basket position 17;54700
;time 54800, basket position 17;54800
;time 54900, basket position 17;54900
;time 55000, basket position 17;55000
;time 55100, basket position 17;55100
;time 55200, basket position 17;55200
;time 55300, basket position 17;55300
;time 55400, basket position 17;55400
;time 55500, basket position 17;55500
;time 55600, basket position 17;55600
;time 55700, basket position 17;55700
;time 55800, basket position 17;55800
;time 55900, basket position 17;55900
;time 56000, basket position 17;56000
;time 56100, basket position 17;56100
;time 56200, basket position 17;56200
;time 56300, basket position 7;56300
;time 56400, basket position 7;56400
;time 56500, basket position 7;56500
;time 56600, basket position 7;56600
;time 56700, basket position 7;56700
;time 56800, basket position 7;56800
;time 56900, basket position 7;56900
;time 57000, basket position 7;57000
;time 57100, basket position 7;57100
;time 57200, basket position 7;57200
;time 57300, basket position 7;57300
;time 57400, basket position 7;57400
;time 57500, basket position 7;57500
;time 57600, basket position 7;57600
;time 57700, basket position 7;57700
;time 57800, basket position 7;57800
;time 57900, basket position 7;57900
;time 58000, basket position 7;58000
;time 58100, basket position 7;58100
;time 58200, basket position 7;58200
;time 58300, basket position 7;58300
;time 58400, basket position 7;58400
;time 58500, basket position 7;58500
;time 58600, basket position 7;58600
;time 58700, basket position 7;58700
;time 58800, basket position 7;58800
;time 58900, basket position 7;58900
;time 59000, basket position 7;59000
;time 59100, basket position 7;59100
;time 59200, basket position 7;59200
;time 59300, basket position 7;59300
;time 59400, basket position 7;59400
;time 59500, basket position 7;59500
;time 59600, basket position 7;59600
;time 59700, basket position 7;59700
;time 59800, basket position 7;59800
;time 59900, basket position 7;59900
;time 60000, basket position 7;60000
;time 60100, basket position -1;60100
;time 60200, basket position -1;60200
;time 60300, basket position -1;60300
;time 60400, basket position -7;60400
;time 60500, basket position -7;60500
;time 60600, basket position -1;60600
;time 60700, basket position -1;60700
;time 60800, basket position -1;60800
;time 60900, basket position -1;60900
;time 61000, basket position -1;61000
;time 61100, basket position -1;61100
;time 61200, basket position 6;61200
;time 61300, basket position 6;61300
;time 61400, basket position 6;61400
;time 61500, basket position 6;61500
;time 61600, basket position 6;61600
;time 61700, basket position 6;61700
;time 61800, basket position 6;61800
;time 61900, basket position 6;61900
;time 62000, basket position 6;62000
;time 62100, basket position 6;62100
;time 62200, basket position 6;62200
;time 62300, basket position 6;62300
;time 62400, basket position 6;62400
;time 62500, basket position 6;62500
;time 62600, basket position 6;62600
;time 62700, basket position 6;62700
;time 62800, basket position 6;62800
;time 62900, basket position 6;62900
;time 63000, basket position 6;63000
;time 63100, basket position 6;63100
;time 63200, basket position 6;63200
;time 63300, basket position 6;63300
;time 63400, basket position 6;63400
;time 63500, basket position 6;63500
;time 63600, basket position 6;63600
;time 63700, basket position 6;63700
;time 63800, basket position 6;63800
;time 63900, basket position 6;63900
;time 64000, basket position 6;64000
;time 64100, basket position 6;64100
;time 64200, basket position 6;64200
;time 64300, basket position 6;64300
;time 64400, basket position 6;64400
;time 64500, basket position 6;64500
;time 64600, basket position 6;64600
;time 64700, basket position 6;64700
;time 64800, basket position 6;64800
;time 64900, basket position 6;64900
;time 65000, basket position 6;65000
;time 65100, basket position 6;65100
;time 65200, basket position 6;65200
;time 65300, basket position 6;65300
;time 65400, basket position 6;65400
;time 65500, basket position 6;65500
;time 65600, basket position 6;65600
;time 65700, basket position 6;65700
;time 65800, basket position 6;65800
;time 65900, basket position 6;65900
;time 66000, basket position 6;66000
;time 66100, basket position 6;66100
;time 66200, basket position 6;66200
;time 66300, basket position 6;66300
;time 66400, basket position 6;66400
;time 66500, basket position 6;66500
;time 66600, basket position 6;66600
;time 66700, basket position 6;66700
;time 66800, basket position 6;66800
;time 66900, basket position 6;66900
;time 67000, basket position 6;67000
;time 67100, basket position 6;67100
;time 67200, basket position 6;67200
;time 67300, basket position 6;67300
;time 67400, basket position 6;67400
;time 67500, basket position 6;67500
;time 67600, basket position 6;67600
;time 67700, basket position 6;67700
;time 67800, basket position 6;67800
;time 67900, basket position 6;67900
;time 68000, basket position 6;68000
;time 68100, basket position 6;68100
;time 68200, basket position 6;68200
;time 68300, basket position 6;68300
;time 68400, basket position 6;68400
;time 68500, basket position 6;68500
;time 68600, basket position 6;68600
;time 68700, basket position 6;68700
;time 68800, basket position 6;68800
;time 68900, basket position 6;68900
;time 69000, basket position 6;69000
;time 69100, basket position 6;69100
;time 69200, basket position 6;69200
;time 69300, basket position 6;69300
;time 69400, basket position 6;69400
;time 69500, basket position 0;69500
;time 69600, basket position 0;69600
;time 69700, basket position 0;69700
;time 69800, basket position 0;69800
;time 69900, basket position 0;69900
;time 70000, basket position 0;70000
;time 70100, basket position 0;70100
;time 70200, basket position 0;70200
;time 70300, basket position 0;70300
;time 70400, basket position 0;70400
;time 70500, basket position 0;70500
;time 70600, basket position 0;70600
;time 70700, basket position 0;70700
;time 70800, basket position 0;70800
;time 70900, basket position 0;70900
;time 71000, basket position 0;71000
;time 71100, basket position 0;71100
;time 71200, basket position 0;71200
;time 71300, basket position 0;71300
;time 71400, basket position -7;71400
;time 71500, basket position -7;71500
;time 71600, basket position -7;71600
;time 71700, basket position -7;71700
;time 71800, basket position -7;71800
;time 71900, basket position -7;71900
;time 72000, basket position -7;72000
;time 72100, basket position -7;72100
;time 72200, basket position -7;72200
;time 72300, basket position -7;72300
;time 72400, basket position -7;72400
;time 72500, basket position -7;72500
;time 72600, basket position -7;72600
;time 72700, basket position -7;72700
;time 72800, basket position -7;72800
;time 72900, basket position -7;72900
;time 73000, basket position -7;73000
;time 73100, basket position -7;73100
;time 73200, basket position -7;73200
;time 73300, basket position -7;73300
;time 73400, basket position -7;73400
;time 73500, basket position -7;73500
;time 73600, basket position -7;73600
;time 73700, basket position -7;73700
;time 73800, basket position -7;73800
;time 73900, basket position -7;73900
;time 74000, basket position -7;74000
;time 74100, basket position -7;74100
;time 74200, basket position -7;74200
;time 74300, basket position -7;74300
;time 74400, basket position -7;74400
;time 74500, basket position -7;74500
;time 74600, basket position -7;74600
;time 74700, basket position -7;74700
;time 74800, basket position -7;74800
;time 74900, basket position -7;74900
;time 75000, basket position -7;75000
;time 75100, basket position -7;75100
;time 75200, basket position -7;75200
;time 75300, basket position -7;75300
;time 75400, basket position -7;75400
;time 75500, basket position -7;75500
;time 75600, basket position -7;75600
;time 75700, basket position -7;75700
;time 75800, basket position -7;75800
;time 75900, basket position -7;75900
;time 76000, basket position -7;76000
;time 76100, basket position -7;76100
;time 76200, basket position -7;76200
;time 76300, basket position -7;76300
;time 76400, basket position -7;76400
;time 76500, basket position -7;76500
;time 76600, basket position -7;76600
;time 76700, basket position -7;76700
;time 76800, basket position -7;76800
;time 76900, basket position -7;76900
;time 77000, basket position -7;77000
;time 77100, basket position -7;77100
;time 77200, basket position -7;77200
;time 77300, basket position -7;77300
;time 77400, basket position -7;77400
;time 77500, basket position -7;77500
;time 77600, basket position -7;77600
;time 77700, basket position -7;77700
;time 77800, basket position -7;77800
;time 77900, basket position -7;77900
;time 78000, basket position -7;78000
;time 78100, basket position -7;78100
;time 78200, basket position -7;78200
;time 78300, basket position -7;78300
;time 78400, basket position -7;78400
;time 78500, basket position -7;78500
;time 78600, basket position -7;78600
;time 78700, basket position -7;78700
;time 78800, basket position -7;78800
;time 78900, basket position -7;78900
;time 79000, basket position -7;79000
;time 79100, basket position -7;79100
;time 79200, basket position -7;79200
;time 79300, basket position -7;79300
;time 79400, basket position -7;79400
;time 79500, basket position -7;79500
;time 79600, basket position -7;79600
;time 79700, basket position -7;79700
;time 79800, basket position -7;79800
;time 79900, basket position -7;79900
;time 80000, basket position -7;80000
;time 80100, basket position -7;80100
;time 80200, basket position -7;80200
;time 80300, basket position -7;80300
;time 80400, basket position -7;80400
;time 80500, basket position -7;80500
;time 80600, basket position -7;80600
;time 80700, basket position -7;80700
;time 80800, basket position -7;80800
;time 80900, basket position -7;80900
;time 81000, basket position -7;81000
;time 81100, basket position -7;81100
;time 81200, basket position -7;81200
;time 81300, basket position -7;81300
;time 81400, basket position -7;81400
;time 81500, basket position -7;81500
;time 81600, basket position -7;81600
;time 81700, basket position -7;81700
;time 81800, basket position -7;81800
;time 81900, basket position -7;81900
;time 82000, basket position -7;82000
;time 82100, basket position -7;82100
;time 82200, basket position -7;82200
;time 82300, basket position -7;82300
;time 82400, basket position -7;82400
;time 82500, basket position -7;82500
;time 82600, basket position -7;82600
;time 82700, basket position -7;82700
;time 82800, basket position -7;82800
;time 82900, basket position -7;82900
;time 83000, basket position -7;83000
;time 83100, basket position -7;83100
;time 83200, basket position -7;83200
;time 83300, basket position -7;83300
;time 83400, basket position -7;83400
;time 83500, basket position -7;83500
;time 83600, basket position -7;83600
;time 83700, basket position -7;83700
;time 83800, basket position -7;83800
;time 83900, basket position -7;83900
;time 84000, basket position -7;84000
;time 84100, basket position 3;84100
;time 84200, basket position 3;84200
;time 84300, basket position 3;84300
;time 84400, basket position 3;84400
;time 84500, basket position 3;84500
;time 84600, basket position 3;84600
;time 84700, basket position 3;84700
;time 84800, basket position 3;84800
;time 84900, basket position 3;84900
;time 85000, basket position 3;85000
;time 85100, basket position 3;85100
;time 85200, basket position 3;85200
;time 85300, basket position 3;85300
;time 85400, basket position 3;85400
;time 85500, basket position 3;85500
;time 85600, basket position 3;85600
;time 85700, basket position 3;85700
;time 85800, basket position 3;85800
;time 85900, basket position 3;85900
;time 86000, basket position 3;86000
;time 86100, basket position 3;86100
;time 86200, basket position 3;86200
;time 86300, basket position 3;86300
;time 86400, basket position 3;86400
;time 86500, basket position 3;86500
;time 86600, basket position 3;86600
;time 86700, basket position 3;86700
;time 86800, basket position 3;86800
;time 86900, basket position 3;86900
;time 87000, basket position 3;87000
;time 87100, basket position 3;87100
;time 87200, basket position 3;87200
;time 87300, basket position 3;87300
;time 87400, basket position 3;87400
;time 87500, basket position 3;87500
;time 87600, basket position 3;87600
;time 87700, basket position 3;87700
;time 87800, basket position 3;87800
;time 87900, basket position 3;87900
;time 88000, basket position 3;88000
;time 88100, basket position 3;88100
;time 88200, basket position 3;88200
;time 88300, basket position 3;88300
;time 88400, basket position 3;88400
;time 88500, basket position 3;88500
;time 88600, basket position 3;88600
;time 88700, basket position 3;88700
